original_title,id
Belfast, 777270
CODA, 776503
Don't Look Up, 646380
Drive My Car, 758866
Dune, 438631
The Power of the Dog, 600583
King Richard, 614917
Licorice Pizza, 718032
Nightmare Alley, 597208
West Side Story, 511809

Being the Ricardos, 517088
tick tick BOOM!, 537116
The Tragedy of Macbeth, 591538

The Eyes of Tammy Faye, 601470
The Lost Daughter, 554230
Parallel Mothers, 766798
Spencer, 716612

The Worst Person in the World, 660120

Encanto, 568124
Flee, 680813
Luca, 508943
The Mitchells vs the Machines, 501929
Raya and the Last Dragon, 527774

The Hand of God, 722778
Lunana: a Yak in the Classroom, 627087
Ascension, 822138
Attica, 858059
Summer of Soul, 776527
Writing with Fire, 776557

Cruella, 337404
Cyrano, 730047

Coming 2 America, 484718
House of Gucci, 644495

No Time to Die, 370172
Four Good Days, 641960
Free Guy, 550988

Spiderman: No Way Home, 634649
Shang-Chi, 566525
