,tconst,ordering,nconst,category,job,characters,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
731961,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
735955,tt0086969,2,nm0000115,actor,,"[""Al Columbato""]",movie,Birdy,Birdy,0.0,1984.0,,120,"Drama,War",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
744558,tt0087968,3,nm0000115,actor,,"[""Nicky"",""Bud""]",movie,Racing with the Moon,Racing with the Moon,0.0,1984.0,,108,"Comedy,Drama,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
769106,tt0090769,1,nm0000115,actor,,"[""Ned Hanlan""]",movie,The Boy in Blue,The Boy in Blue,0.0,1986.0,,100,"Biography,Drama,Sport",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
777505,tt0091738,2,nm0000115,actor,,"[""Charlie Bodell""]",movie,Peggy Sue Got Married,Peggy Sue Got Married,0.0,1986.0,,103,"Comedy,Drama,Fantasy",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
793800,tt0093565,2,nm0000115,actor,,"[""Ronny Cammareri""]",movie,Moonstruck,Moonstruck,0.0,1987.0,,102,"Comedy,Drama,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
796047,tt0093822,1,nm0000115,actor,,"[""H.I. McDunnough""]",movie,Raising Arizona,Raising Arizona,0.0,1987.0,,94,"Comedy,Crime",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
837775,tt0098577,1,nm0000115,actor,,"[""Peter Loew""]",movie,Vampire's Kiss,Vampire's Kiss,0.0,1988.0,,103,"Comedy,Horror",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
856603,tt0100762,1,nm0000115,actor,,"[""Enrico Silvestri""]",movie,Time to Kill,Tempo di uccidere,0.0,1989.0,,110,"Drama,War",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
846509,tt0099575,1,nm0000115,actor,,"[""Jake Preston""]",movie,Fire Birds,Fire Birds,0.0,1990.0,,85,"Action,Adventure",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
858068,tt0100935,1,nm0000115,actor,,"[""Sailor Ripley""]",movie,Wild at Heart,Wild at Heart,0.0,1990.0,,125,"Comedy,Crime,Drama",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
858661,tt0101004,1,nm0000115,actor,,"[""Johnny Collins""]",movie,Zandalee,Zandalee,0.0,1991.0,,100,"Drama,Romance,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
888266,tt0104438,2,nm0000115,actor,,"[""Jack Singer""]",movie,Honeymoon in Vegas,Honeymoon in Vegas,0.0,1992.0,,96,"Comedy,Romance,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
894923,tt0105226,1,nm0000115,actor,,"[""Michael""]",movie,Red Rock West,Red Rock West,0.0,1993.0,,98,"Crime,Drama,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
903839,tt0106266,1,nm0000115,actor,,"[""Amos Odell""]",movie,Amos & Andrew,Amos & Andrew,0.0,1993.0,,96,"Comedy,Crime",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
907384,tt0106684,3,nm0000115,actor,,"[""Eddie""]",movie,Deadfall,Deadfall,0.0,1993.0,,98,"Crime,Drama",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
934835,tt0109951,2,nm0000115,actor,,"[""Doug Chesnic""]",movie,Guarding Tess,Guarding Tess,0.0,1994.0,,96,"Comedy,Drama",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
936647,tt0110167,1,nm0000115,actor,,"[""Charlie Lang""]",movie,It Could Happen to You,It Could Happen to You,0.0,1994.0,,101,"Comedy,Drama,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
947631,tt0111477,1,nm0000115,actor,,"[""Bill Firpo""]",movie,Trapped in Paradise,Trapped in Paradise,0.0,1994.0,,111,"Adventure,Comedy,Crime",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
18049577,tt3696140,3,nm0000115,self,,"[""Himself""]",movie,Hollywood Waterloo,Hollywood Waterloo,0.0,1994.0,,89,Documentary,Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
964831,tt0113552,3,nm0000115,actor,,"[""Little Junior Brown""]",movie,Kiss of Death,Kiss of Death,0.0,1995.0,,101,"Action,Crime,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
965403,tt0113627,1,nm0000115,actor,,"[""Ben Sanderson""]",movie,Leaving Las Vegas,Leaving Las Vegas,0.0,1995.0,,111,"Drama,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
997460,tt0117500,2,nm0000115,actor,,"[""Stanley Goodspeed""]",movie,The Rock,The Rock,0.0,1996.0,,136,"Action,Adventure,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1011051,tt0119094,2,nm0000115,actor,,"[""Castor Troy""]",movie,Face/Off,Face/Off,0.0,1997.0,,138,"Action,Crime,Sci-Fi",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1009181,tt0118880,1,nm0000115,actor,,"[""Cameron Poe""]",movie,Con Air,Con Air,0.0,1997.0,,115,"Action,Crime,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1024368,tt0120632,1,nm0000115,actor,,"[""Seth""]",movie,City of Angels,City of Angels,0.0,1998.0,,114,"Drama,Fantasy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1025823,tt0120832,1,nm0000115,actor,,"[""Rick Santoro""]",movie,Snake Eyes,Snake Eyes,0.0,1998.0,,98,"Crime,Mystery,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1114830,tt0134273,1,nm0000115,actor,,"[""Tom Welles""]",movie,8MM,8MM,0.0,1999.0,,123,"Mystery,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1299537,tt0163988,1,nm0000115,actor,,"[""Frank Pierce""]",movie,Bringing Out the Dead,Bringing Out the Dead,0.0,1999.0,,121,"Drama,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1454725,tt0187078,1,nm0000115,actor,,"[""Memphis Raines""]",movie,Gone in 60 Seconds,Gone in Sixty Seconds,0.0,2000.0,,118,"Action,Crime,Thriller",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1475329,tt0189998,7,nm0000115,producer,producer,,movie,Shadow of the Vampire,Shadow of the Vampire,0.0,2000.0,,92,"Drama,Horror",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1662441,tt0218967,1,nm0000115,actor,,"[""Jack Campbell""]",movie,The Family Man,The Family Man,0.0,2000.0,,125,"Comedy,Drama,Fantasy",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1679197,tt0221823,7,nm0000115,producer,producer,,movie,Bel Air,Bel Air,0.0,2000.0,,110,,Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
2584306,tt0366625,3,nm0000115,self,,"[""Himself""]",movie,Spaghetti Requiem,Italian Soldiers,0.0,2001.0,,56,Documentary,Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1908766,tt0259929,3,nm0000115,actor,,"[""Marley""]",movie,A Christmas Carol,Christmas Carol: The Movie,0.0,2001.0,,77,"Animation,Family",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1774825,tt0238112,1,nm0000115,actor,,"[""Captain Antonio Corelli""]",movie,Captain Corelli's Mandolin,Captain Corelli's Mandolin,0.0,2001.0,,131,"Drama,Music,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
1960304,tt0268126,1,nm0000115,actor,,"[""Charlie Kaufman"",""Donald Kaufman""]",movie,Adaptation.,Adaptation.,0.0,2002.0,,115,"Comedy,Drama",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
2207636,tt0305973,5,nm0000115,director,,,movie,Sonny,Sonny,0.0,2002.0,,110,"Crime,Drama",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
