,primaryName_y,freq,Name
15,Alan Parker,2,Nicolas Cage
64,John Goodman,2,Nicolas Cage
67,Carter Burwell,2,Nicolas Cage
103,Willem Dafoe,4,Nicolas Cage
107,Steve Golin,2,Nicolas Cage
109,Sigurjon Sighvatsson,2,Nicolas Cage
110,Walt Lloyd,2,Nicolas Cage
121,James Caan,2,Nicolas Cage
125,Andrew Bergman,2,Nicolas Cage
126,Mike Lobell,2,Nicolas Cage
129,Barry Malkin,2,Nicolas Cage
142,Samuel L. Jackson,2,Nicolas Cage
146,Gary Goetzman,2,Nicolas Cage
155,Christopher Coppola,2,Nicolas Cage
158,Jim Fox,2,Nicolas Cage
225,Jerry Bruckheimer,3,Nicolas Cage
231,John Woo,2,Nicolas Cage
234,Terence Chang,2,Nicolas Cage
238,John Cusack,3,Nicolas Cage
239,John Malkovich,2,Nicolas Cage
241,Simon West,2,Nicolas Cage
242,Scott Rosenberg,2,Nicolas Cage
245,Trevor Rabin,2,Nicolas Cage
246,Charles Roven,2,Nicolas Cage
270,Peter Stormare,2,Nicolas Cage
271,Joel Schumacher,2,Nicolas Cage
283,Paul Schrader,3,Nicolas Cage
291,Dominic Sena,2,Nicolas Cage
329,Penélope Cruz,2,Nicolas Cage
335,Kate Winslet,2,Nicolas Cage
355,Meryl Streep,2,Nicolas Cage
371,Norman Golightly,6,Nicolas Cage
405,Diane Kruger,2,Nicolas Cage
406,Justin Bartha,2,Nicolas Cage
408,Jon Turteltaub,3,Nicolas Cage
410,Cormac Wibberley,2,Nicolas Cage
411,Marianne Wibberley,2,Nicolas Cage
420,Todd Black,2,Nicolas Cage
421,Jason Blumenthal,2,Nicolas Cage
452,Avi Lerner,2,Nicolas Cage
460,Randall Emmett,4,Nicolas Cage
494,Eva Mendes,3,Nicolas Cage
499,Michael De Luca,2,Nicolas Cage
537,Werner Herzog,2,Nicolas Cage
578,René Besson,3,Nicolas Cage
587,Brian Taylor,2,Nicolas Cage
629,Josh Cowell,3,Nicolas Cage
673,Ryan Reynolds,2,Nicolas Cage
674,Emma Stone,2,Nicolas Cage
676,Kirk DeMicco,2,Nicolas Cage
677,Chris Sanders,2,Nicolas Cage
681,Frederik Wiedmann,2,Nicolas Cage
683,Anton Yelchin,2,Nicolas Cage
691,Richard Rionda Del Castro,2,Nicolas Cage
700,Michael Mendelsohn,5,Nicolas Cage
711,Gary Hamilton,2,Nicolas Cage
716,Nick Powell,2,Nicolas Cage
780,Braxton Pope,2,Nicolas Cage
790,Daniel Herther,2,Nicolas Cage
795,Jonathan Baker,2,Nicolas Cage
798,George Furla,2,Nicolas Cage
838,Kevin DeWalt,2,Nicolas Cage
839,Danielle Masters,2,Nicolas Cage
880,Daniel Noah,2,Nicolas Cage
888,Nate Bolotin,2,Nicolas Cage
7,David Puttnam,3,Alan Parker
10,Gerry Hambling,4,Alan Parker
16,Alan Marshall,7,Alan Parker
18,Peter Biziou,4,Alan Parker
19,Michael Seresin,6,Alan Parker
30,David Puttnam,3,Alan Parker
36,Oliver Stone,2,Alan Parker
39,Alan Marshall,7,Alan Parker
40,Michael Seresin,6,Alan Parker
48,Alan Marshall,7,Alan Parker
57,Alan Marshall,7,Alan Parker
58,Peter Biziou,4,Alan Parker
59,Gerry Hambling,4,Alan Parker
60,Geoffrey Kirkland,2,Alan Parker
67,Alan Marshall,7,Alan Parker
68,Michael Seresin,6,Alan Parker
69,Gerry Hambling,4,Alan Parker
72,Nicolas Cage,2,Alan Parker
79,Alan Marshall,7,Alan Parker
80,Michael Seresin,6,Alan Parker
88,Alan Marshall,7,Alan Parker
89,Trevor Jones,2,Alan Parker
100,Peter Biziou,4,Alan Parker
107,Robert F. Colesberry,3,Alan Parker
