,names,values
290,William Shakespeare,0.016681478533775555
18678,A.R. Rahman,0.01610438723148001
4729,Nicolas Cage,0.009822558833619164
2556,Irrfan Khan,0.0095433390550825
5548,Robert De Niro,0.008627230458582148
28639,Gökhan Tiryaki,0.007771603429892042
649,Ennio Morricone,0.007663109559010719
533,Jerry Goldsmith,0.007181551183696322
4443,Samuel L. Jackson,0.007161507989296775
3139,Willem Dafoe,0.0069647213187153
1313,Scott Rudin,0.006681597883491263
11485,Jackie Chan,0.006676255552595384
27341,Haluk Bilginer,0.006591076198147094
4477,Michael Andrews,0.0060532896142695605
2897,Mychael Danna,0.005938589467362693
3350,Jason Blum,0.0058551328287873
1379,Stephen King,0.005799616297147987
2878,Nicole Kidman,0.005769951410597909
5657,Danny Glover,0.005697384648237352
2678,Penélope Cruz,0.0056561879036651
10882,Om Puri,0.0055361452287750745
1721,John Cusack,0.005469875258330426
768,Sylvester Stallone,0.005411114985600913
1859,Michael Caine,0.005380094245864547
1176,Julianne Moore,0.0053758811098649426
6391,Gérard Depardieu,0.005344415036653927
3490,Juliette Binoche,0.005306194370683485
4259,Liam Neeson,0.0052961197891888395
555,Brian Grazer,0.005289261714831108
3994,Alexandre Desplat,0.005182680337284238
1760,Howard Shore,0.005101584977732382
760,Morgan Freeman,0.004932503317512436
1723,Bruce Willis,0.004883022293786541
3486,Johnny Depp,0.004734453590779674
6389,Robin Williams,0.0046931217278079395
3506,Ben Kingsley,0.0046477485986072
754,Antonio Banderas,0.004557020580594846
2383,Luc Besson,0.004485320988792799
5662,Dennis Quaid,0.0044774765010477955
284,Clint Eastwood,0.004460784369304756
250,David Newman,0.004451913689647361
1189,Ed Harris,0.00426304846174796
3175,Tom Hanks,0.004208190218785844
1041,Anthony Hopkins,0.004176684463349425
3989,Marco Beltrami,0.004161613185258429
3894,Forest Whitaker,0.004097263559639519
5219,Ewan McGregor,0.004090586460946595
1448,Susan Sarandon,0.004073458652864094
3069,Ethan Hawke,0.004018771163863271
2344,Hans Zimmer,0.004007803137212984
4080,Keanu Reeves,0.004006931246976236
1171,James Horner,0.0038748485122614023
771,Jeff Bridges,0.003851012728796874
3071,John Goodman,0.0038480790847291186
3150,Tim Bevan,0.003833684082333723
22996,Anupam Kher,0.003826665093747245
3468,Graeme Revell,0.00382082063928437
2456,Michelle Pfeiffer,0.0038082196679416263
1205,Cate Blanchett,0.003780452369581669
994,Alan Arkin,0.0037731505831165913
2503,Mark Isham,0.0037261366093170197
537,Harvey Keitel,0.0036856205993664065
5518,Jeremy Thomas,0.0035634650574259876
761,Richard Gere,0.0035602088515214094
2881,Woody Harrelson,0.003552950837992679
4274,Stellan Skarsgård,0.003524859411811247
5107,Donald Sutherland,0.0035110833902645983
5988,Colin Farrell,0.0035074293001221618
1970,Christopher Plummer,0.003498580291613017
183,Philip Glass,0.00347855176212752
5446,Tim Roth,0.0034609663633714083
5119,James Franco,0.0034407783247894287
2458,Matt Damon,0.0034325224023176574
8003,Mel Gibson,0.00343040943092506
7767,Monica Bellucci,0.0034293642017546124
2660,Woody Allen,0.003415148384678407
559,James Newton Howard,0.0034006006912190314
14677,Daniel Brühl,0.003382926158764058
2464,John Malkovich,0.0033567312485878052
11230,Max Richter,0.003354346706087334
3138,Kristin Scott Thomas,0.003343769315479919
4248,Pierce Brosnan,0.003304893287740723
2900,Christopher Young,0.003281821115655057
5554,Sam Neill,0.0032271582710834044
1545,Alan Silvestri,0.0031856774123941835
1751,Carter Burwell,0.0031588345967209206
536,Michael Douglas,0.0031379610054976326
3493,Danny Elfman,0.0031370726132769317
553,John Williams,0.0031312903576340406
8617,Dario Marianelli,0.003116410706613866
3738,Matthew McConaughey,0.0031148959383670407
176,Robert Redford,0.0031075944797480434
4607,Helen Mirren,0.0030977920306325766
1251,John Davis,0.003093823899697724
6133,Adrien Brody,0.00308760619804058
543,Elmer Bernstein,0.0030844793229550076
459,Arnold Schwarzenegger,0.0030480535385557384
7494,Aishwarya Rai Bachchan,0.0030265877258030113
10694,Tadanobu Asano,0.003011124951897672
4079,Leonardo DiCaprio,0.0030087445445340522
2534,Gael García Bernal,0.002990895633862398
9661,Jean-Claude Van Damme,0.002972277379674192
3303,Alec Baldwin,0.0029621209904857632
299,Max von Sydow,0.002944124298014062
6854,Naomi Watts,0.0029182598133910523
2468,Ridley Scott,0.0029039958745830305
5797,Brian Cox,0.0028987601549121645
2201,Chen Chang,0.002889245255999064
1194,Sean Penn,0.002887743706904682
2666,Nick Nolte,0.0028799136894917246
1203,Elijah Wood,0.0028557096879240963
4736,John Hurt,0.0028461549766452244
2399,George Fenton,0.002841823477493959
86,Steven Spielberg,0.0028376643114755634
9548,Clive Owen,0.0028239823096015107
769,Ben Affleck,0.002807130795581771
